player,mu,sigma,wins,losses,sets
mike haze,40.5152823622,2.56906526498,8,5,13
hat,40.4935771564,1.72930022558,23,9,32
boulevard,40.4935501256,2.39410512869,10,4,14
jeapie,40.4797822425,3.43366788177,6,2,8
zoler,40.4599324979,2.31163200122,20,4,24
rk,40.4545218059,2.60545059182,7,3,10
blea gelo,40.4236983136,3.0345525152,6,2,8
yoyo,40.4094884062,1.9559870349,15,7,22
plank,40.3927439503,2.57576299931,9,4,13
sago,40.3767593351,1.77193152341,28,6,34
googlyeyed,40.3438004101,3.48962553037,6,2,8
charlon,40.2779417551,2.78132289362,11,2,13
ciz,40.2236986154,1.59856485773,25,11,36
icer,40.215485162,2.45378052355,11,4,15
sol,40.1753937423,2.98311801684,8,2,10
g$,40.1423089694,1.71340481343,22,8,30
spark,40.0830972827,2.1139073426,14,6,20
ibdw,40.0107936364,2.01123326877,15,7,22
tafokints,40.0039940994,1.42900918349,31,17,48
morsecode762,40.0002498479,1.90868077262,16,8,24
crunch,39.9725525257,1.80177461048,24,9,33
dev,39.9191667052,2.97504160487,6,2,8
davidcue,39.9108682579,2.51612010984,12,2,14
timi,39.8996416392,2.82689591258,11,2,13
eagle,39.8719641149,2.36321327837,19,4,23
ka-master,39.8575653824,1.9137113278,17,8,25
bmc,39.8517732499,1.98794399461,19,7,26
homemadewaffles,39.8440794173,1.60985137724,25,13,38
doll,39.8328902414,2.56818465415,10,4,14
koopatroopa895,39.8168085921,1.94330034543,16,7,23
kira,39.8011694678,1.31268779535,41,19,60
flikkflakk,39.7976462788,2.50248597818,17,3,20
silentspectre,39.7879857922,1.9322903725,16,7,23
minty,39.768778962,2.12408044772,15,6,21
shinobi,39.7355768522,1.43480714207,34,14,48
zoma,39.7297237493,3.14250197801,6,2,8
satdaddy,39.7247911283,3.02508864844,5,2,7
ryobeat,39.7148617716,2.35298986795,10,5,15
juggleguy,39.6927330412,1.27336084204,45,20,65
eikelmann,39.6820513482,2.99675259449,6,2,8
@adamayonmike,39.6777730661,2.92549726336,10,2,12
lanceinthepants,39.6423603473,1.62516516155,28,11,39
oaty,39.6388353258,3.11159136683,6,3,9
lint,39.6229711095,1.74971251131,22,9,31
bigfoig,39.6140571921,2.53204853834,8,3,11
nmw,39.6047422196,1.93543439736,17,7,24
pi,39.5837784764,2.27278146227,11,4,15
kage the warrior,39.5709495713,3.1357130008,6,2,8
dudutsai,39.5375245667,1.95429342281,18,7,25
star,39.5319411293,3.2731976022,6,2,8
peanutphobia,39.5129186203,1.89186135123,18,8,26
vinodh,39.5080599689,2.04989222239,15,7,22
wenbobular,39.4824931587,1.89840742544,19,8,27
sauc3,39.4632163941,2.37607593523,11,4,15
ycz6,39.4598446972,2.20555662466,13,6,19
nightmare,39.4423938705,1.42244486869,35,14,49
rold gold,39.426731442,3.37207436366,6,2,8
jkj,39.4051224707,1.90533387225,18,8,26
vish,39.3972384517,1.8588298044,18,9,27
zeo,39.3256232644,1.83936868555,18,9,27
javi,39.2927527749,2.72709611394,8,5,13
bobby frizz,39.2797287103,2.01288902553,16,8,24
pricent,39.2708905317,1.98041395181,25,8,33
linguini,39.2701877691,3.36142313015,5,2,7
bones,39.2475801182,2.03321088974,14,7,21
däumling,39.2331655683,3.34263415061,6,2,8
santiago,39.2058083025,3.49238883642,4,2,6
twitch,39.2045057258,3.26793557429,5,2,7
hamyojo,39.2034778287,1.91148621458,19,8,27
vanitas,39.1665287769,2.05868020025,14,6,20
sk92,39.1659920031,2.58919661477,9,4,13
daydee,39.1610936931,2.05673003746,23,6,29
kdj,39.1229385139,2.94385786768,6,3,9
quaz,39.1141374184,3.08061076218,10,2,12
darkrain,39.1118249961,3.38905276009,5,2,7
triple r,39.104001288,1.94984146899,20,7,27
pit,39.1008951708,3.23104138784,6,2,8
bolt,39.0764906111,2.46321341728,11,4,15
tranimal,39.0741678376,2.07994315698,16,7,23
yort,39.0349696776,2.19289141794,14,6,20
son2,39.0327409012,2.40747452245,10,5,15
vdogg,39.0203678252,2.20428433131,19,5,24
ryan_k,38.9955104618,2.84558315899,8,4,12
cob,38.9666413885,2.3558000948,11,5,16
sothe,38.9490581745,2.53942424885,12,3,15
tm,38.940417241,1.64312045967,26,10,36
ralph,38.9356431544,2.60520685318,7,5,12
uuaa,38.9181036706,1.65277554521,23,10,33
swiftbass,38.8726758386,1.67564412503,23,12,35
fa0,38.840141206,2.15887322469,18,6,24
dendypretendy,38.8171380957,3.41932294071,6,2,8
gar,38.8163780954,1.89891325339,18,8,26
drunksloth,38.8129631921,1.83343067916,22,10,32
bësti,38.7959268238,3.09938537187,9,2,11
lawn chair,38.7878591719,3.372790393,6,2,8
magicubed,38.7871355017,2.34013912157,10,5,15
mattdotzeb,38.7764185071,1.61015961457,26,13,39
jace,38.7631307992,2.6484855818,10,4,14
bizzarro flame,38.7606949813,2.66346585032,9,4,13
rik,38.7331870086,1.40044851066,39,17,56
brokenyew,38.7259164666,3.31911380834,5,3,8
wavebringer,38.7186815009,2.55576096737,9,4,13
nakamaman,38.7110054862,3.25226485232,4,2,6
envy,38.6780841407,1.64849528821,23,11,34
fauster,38.6770695583,2.55856708057,15,4,19
schythed,38.677018086,1.78548701615,22,10,32
monib,38.6592110453,2.15164201429,19,7,26
yams,38.6564303336,3.16597106138,4,2,6
azzu,38.6228405415,1.65771245004,28,10,38
cal,38.609807651,1.85624059529,20,8,28
aglet,38.6060999029,2.61780501559,10,4,14
ken,38.6059422427,2.16067663473,12,7,19
justjoe,38.6033813615,2.20344103091,17,5,22
captainjack,38.603249696,3.03825958527,9,2,11
damian tyson,38.5937335926,2.234381417,18,6,24
sacasumoto,38.5659933442,2.51763773872,10,4,14
rudolph,38.5430808254,2.26018085503,9,7,16
hazygoose,38.5429946507,2.78248219702,11,4,15
moogle,38.538477859,3.43132427869,5,2,7
eggy,38.5063373837,1.63084181506,27,11,38
articanus,38.4964988032,3.18555660619,6,3,9
jawanga,38.4920488685,1.96956672717,16,7,23
junebug,38.4686943735,2.43961798009,14,4,18
rula,38.4671771378,2.28199860195,13,6,19
usleon,38.4151668529,1.86602143234,21,7,28
okamibw,38.405200341,3.33863161943,6,2,8
imyt,38.3842988945,1.79907398327,21,9,30
humpe,38.3745906339,2.53013924777,17,4,21
equal,38.3595669631,1.78487959221,21,9,30
mike g,38.3378894317,3.30124108071,5,3,8
amida,38.3369804668,1.68904007619,23,11,34
shamunt,38.2887575683,2.06587809243,14,7,21
neeco,38.2686473009,2.42859986292,11,4,15
obamallama,38.2286952254,2.39140225713,11,4,15
lovage,38.2284466562,3.28654256773,6,3,9
trichael man,38.2269611482,2.53189726722,11,4,15
tenrye,38.2262203886,3.31049771635,9,2,11
captain crunch,38.2126081829,1.68765310204,24,12,36
doh,38.2037780013,2.81680449685,7,4,11
psychomidget,38.1717521365,2.07646113492,15,6,21
markow,38.1700470113,2.92177680958,9,2,11
vino,38.1523283275,1.96913093883,18,8,26
dizzy,38.1418279467,3.25921050951,6,3,9
jadde,38.1373896588,2.49229498629,17,5,22
cmg,38.1309924005,2.70343196364,10,4,14
suess,38.1192745137,2.12276235523,15,6,21
widl,38.1172183893,2.12984356262,12,7,19
s1,38.1158350428,3.4272416035,5,2,7
alejandro,38.0904231289,3.03222585717,8,2,10
patcake,38.0822581425,3.23568385212,5,2,7
bardull,38.0651280067,2.46885227394,10,4,14
dai,38.061906114,3.32441948923,5,2,7
paper,38.0594172768,2.71591714151,9,4,13
prz,38.0582256962,2.25596226798,14,5,19
alp,38.0538924249,2.65100330076,9,4,13
furta,38.0521548899,3.6456467162,4,2,6
iluvcrispix,38.045812959,3.13719385913,6,2,8
nerin,38.0392864044,2.25412347933,14,6,20
dairdev1l,38.0378273179,1.44383616883,37,17,54
r23,38.0269997817,2.60976600644,10,5,15
levingy,38.0082550224,2.13461340946,15,6,21
zbert,38.003567766,2.41919335524,11,4,15
toph,37.990938327,1.53954591822,25,16,41
green ranger,37.987851806,3.45613230881,6,2,8
nimzo,37.9872400497,3.28414782894,6,2,8
zorc,37.9835086856,1.54256989304,38,13,51
tang,37.9807942775,2.34166638086,11,6,17
beerman,37.9668616885,3.41706653831,4,2,6
vortex,37.966225562,1.44527482934,32,15,47
baka4moe,37.9649612182,2.60453897108,9,5,14
jcam,37.9615029921,3.4263681282,4,2,6
sg,37.9613506697,3.48254614067,5,2,7
kevinm,37.9601082246,3.7403752406,4,2,6
tirno,37.9435916957,2.09303415107,14,8,22
murdock,37.9424013497,3.50360654054,5,2,7
angtheavatar,37.9327171647,3.21053470291,5,2,7
voorhese,37.9257445087,3.14578583688,9,2,11
moky,37.9231631498,2.7394646029,9,4,13
shminkledorf,37.9209262888,3.66965885642,5,2,7
tope,37.9127132967,3.50505180288,4,2,6
i4n,37.9053875547,1.44136128199,37,14,51
kyu puff,37.8665671694,2.7887408664,6,4,10
xif,37.8637688417,2.81886177191,7,5,12
toastyb,37.8306382319,2.02479668439,16,7,23
advanced,37.830617682,2.22377971199,14,6,20
scythe,37.7862172445,1.71853098993,28,9,37
yakal,37.7837093477,3.54906528303,5,2,7
ny joey,37.7708647112,1.61781536293,25,12,37
ministry,37.7601345653,3.04923281791,10,2,12
jrad,37.732803449,1.72097243659,21,10,31
tesla,37.7097545467,3.33042340437,6,2,8
j666,37.7008529051,2.25417486689,12,6,18
bose,37.6807161938,2.21194213751,19,5,24
thoraxe,37.6690727358,2.65438318963,10,4,14
subtle,37.6654134241,1.99733064043,17,8,25
yedi,37.663996933,2.45156573014,9,5,14
beach,37.6437303335,1.4345601295,33,16,49
bimbo,37.642415347,3.32865421903,4,2,6
pikapika!,37.6419996774,2.89297806591,9,4,13
qerb,37.6323422908,3.67442860439,4,2,6
chip,37.6137551382,2.67813181872,8,4,12
chroma,37.6116092611,2.48121106382,10,4,14
nevake,37.5857299711,2.66675549105,8,4,12
peki,37.5674798788,2.32574303807,17,5,22
imperfect,37.5658465424,2.37104721431,17,4,21
luigigoshard,37.5512305887,1.31677636765,43,22,65
rayzorium,37.5425766845,3.40165212631,6,2,8
onion,37.5355038461,2.6156051707,10,4,14
atomsk,37.5318601988,1.83875682846,19,9,28
th0rn,37.5296317628,2.93047850558,6,3,9
umbra,37.5275561787,3.31272635293,6,2,8
rustin,37.517602699,1.8254396,18,9,27
warriorknight,37.5114258395,2.63903153406,8,5,13
makari,37.5103742673,3.49844367902,4,2,6
pengie,37.5053814843,2.62353304007,8,5,13
sverre,37.5007072999,2.25333013631,17,5,22
newera,37.4942818736,3.14555343454,6,2,8
rofl,37.4770554496,3.18397428218,7,3,10
quin,37.4663069567,1.88288834695,18,7,25
oreo,37.4641127616,3.11015388951,8,2,10
berble,37.4609872799,2.76981694241,8,4,12
baeblade,37.449590101,2.06280519451,17,8,25
violence,37.4108935749,2.09694302432,17,8,25
dawn,37.4108480141,2.7401919253,10,4,14
ky,37.3844906155,3.57344725369,5,2,7
thugz,37.3839264919,3.6436481104,5,2,7
arc,37.3736176274,2.24646166492,12,7,19
ferocitii,37.3682384786,2.36626848657,14,5,19
blahyay,37.3670691058,2.73873156966,6,4,10
emt_sol,37.3575519056,1.87241084824,17,9,26
yabasta,37.3446477281,2.09107539843,22,7,29
liquid,37.3364942351,2.66783493752,9,4,13
ambiguously polish,37.3347588867,3.27123740394,5,2,7
tuxedo mask,37.3198532282,2.60620952901,9,4,13
who?,37.3096473884,3.69569848608,3,2,5
kaeon,37.3002157822,2.60010097693,9,4,13
mew,37.2956694583,1.95978514968,21,9,30
blueg,37.2940290822,2.60283575486,8,4,12
liberate,37.2905317884,1.87467261593,19,9,28
pseudoturtle,37.2899093127,3.26942115349,9,2,11
kei,37.289257339,2.60930974022,10,4,14
pudgypanda,37.2808926942,2.24173090754,11,6,17
hello,37.2795630592,2.47626578084,13,4,17
neologism,37.2749710185,2.46053667361,12,6,18
tapion,37.245791019,3.40978835049,5,2,7
klaps,37.2451367103,3.19378006522,5,3,8
hyprid,37.2387618728,3.77004611692,3,2,5
thegooddoctor,37.2286346966,3.04744187492,9,2,11
naminami,37.2255924081,3.48528608444,7,2,9
sharkz,37.2206685361,2.08893623467,14,7,21
porkchops,37.2180074762,2.48223246075,10,5,15
anjo,37.2137275231,2.33922873344,11,5,16
gundersen,37.2081035797,3.29763343525,9,2,11
little england,37.2080507187,3.61469709874,5,2,7
alan,37.2071421675,1.80891151399,18,10,28
phade,37.184208269,2.01748777118,18,7,25
mr. lemon,37.1746639202,3.01367031726,6,3,9
kriz,37.169730316,2.50786221861,16,4,20
ebay,37.1641900316,2.26393019396,12,5,17
mt,37.1191376283,2.75130612667,5,6,11
flamin roy,37.1168911799,3.63643165397,5,2,7
griffith,37.0600575175,3.31211724447,5,2,7
dunk,37.0541131581,1.49368110213,31,15,46
jah ridin',37.0518587286,3.32415621377,9,2,11
lsdx,37.0451857482,3.38814213401,9,3,12
saus,37.044891609,2.67867077002,9,4,13
husband,37.0431648381,2.99410859701,6,3,9
ihavespaceballs,37.0371473597,3.69062325186,5,2,7
johnkorv,37.0329333599,3.35729706748,7,2,9
jonjon,37.0310725055,2.79310601724,9,4,13
moose,37.0234201042,2.02631770688,15,8,23
windrose,37.0194037132,2.96723668806,7,4,11
pig,37.0183823507,2.28242645342,12,6,18
bananas,37.0105771632,1.90299282283,16,8,24
techdeath,37.0073313195,2.68682735354,10,4,14
groovy green hat,36.9924690981,2.51243330051,10,4,14
hulka,36.9583905751,2.6417255628,8,4,12
phex,36.950533352,1.81988889104,21,9,30
shiftingshadows,36.9276784608,2.41625968295,15,5,20
eliott,36.9216002262,1.83925927176,18,9,27
deathgazer,36.9203422062,1.97455246001,20,9,29
arcane,36.9126237317,3.43132589631,6,2,8
bigvegetabluntz,36.9064246719,2.14857912357,13,7,20
mr.postman,36.906240576,2.62483355246,9,4,13
albert,36.8860377278,2.59632785902,8,4,12
gg7,36.8832940993,3.59209830957,5,2,7
| porkchops,36.8803631454,3.19406599665,5,3,8
brtarolg,36.8735332207,1.49133858275,37,15,52
squid,36.873211378,3.20389552444,5,4,9
reason,36.8671307067,3.61244583077,5,2,7
sweet,36.8570275635,2.40314503892,10,5,15
ashtrei,36.8533596466,3.47927117461,8,2,10
mistrrlove,36.8417372427,3.95213899859,6,2,8
kevorkian,36.8299202543,1.70500446255,23,11,34
nhat,36.8286060711,2.94280125015,7,3,10
mr. tuesday,36.8195388738,2.86102010581,5,4,9
home,36.8181208475,2.66043713032,8,4,12
yoshi,36.8109937263,3.49429304119,5,2,7
erik,36.8060669785,2.65769767807,9,4,13
km,36.8032208367,3.03943609307,7,2,9
travis,36.7986835463,2.2071146908,15,6,21
fork,36.7822954897,2.93658045801,7,4,11
sypherphoenix,36.7768231215,2.60938614087,8,4,12
nakamaru,36.7697724513,3.33895303667,5,2,7
heartstrings,36.7536936434,1.46133353572,31,16,47
rainbow,36.7450946884,2.40691526308,11,5,16
skipper,36.7441909953,3.19964480394,7,2,9
hart,36.7400048759,2.12022254955,11,7,18
d..p,36.7311539267,3.78437800729,5,2,7
lock,36.7049785776,2.43415242874,12,5,17
tran,36.682625932,1.81470173502,19,10,29
salevits,36.6802951525,2.58529386444,16,4,20
sinbad,36.6779879218,2.50938380041,9,6,15
avalancer,36.6730478491,3.41443706549,5,3,8
mayhem,36.6718803472,2.56286674509,16,4,20
digital cannon,36.6663850352,3.29477307236,4,3,7
jager,36.6658583331,3.43939472651,5,2,7
absentpage,36.6640059313,1.4602775797,26,15,41
nerodero,36.6420122539,3.52431642147,5,2,7
mikkuz,36.6347970176,2.60932827818,8,4,12
aellwine,36.6317201636,3.26689027386,6,2,8
shabo,36.6228161567,1.72351711193,23,11,34
greed,36.5961717788,3.97794797228,5,1,6
balloon,36.5708229967,2.52972124661,10,4,14
desseler,36.563510848,2.65665185602,11,4,15
mundungu,36.5510788844,2.71609721486,8,4,12
slipnslide,36.5479341608,3.4154916818,5,2,7
alpha dash,36.5400087244,2.71784962956,11,4,15
unreal,36.5387632366,3.13208953831,7,3,10
russell,36.5252801814,2.5898908242,9,4,13
potato,36.5245462198,2.71476104346,8,4,12
uwan,36.5217078232,3.42184846679,5,2,7
flood,36.5178390118,3.4829138769,5,2,7
ftgg,36.511504688,3.14485254762,6,2,8
poonslayer7,36.5108040283,2.78300125737,7,3,10
machiavelli,36.4890867833,3.28093773139,5,2,7
shiny,36.4853888738,3.67116585003,5,2,7
killahertz,36.4785758577,3.29568476347,6,2,8
yomi,36.4748312844,3.77923286981,4,2,6
codi,36.4615971116,3.73119711051,4,2,6
knubs.,36.4569195355,1.63821038169,26,12,38
phake,36.4523720732,3.10039653765,5,4,9
jman3,36.4512595745,2.69903717361,9,3,12
aza,36.4479469198,3.74398607734,4,2,6
metroid,36.427380634,3.14889712295,5,3,8
maruf,36.4141042057,3.38816757007,4,2,6
mooninite,36.4091346986,3.89005994311,4,2,6
dewky,36.408007242,3.69707801343,4,2,6
toastbread,36.4046177467,3.06508992741,6,3,9
quang,36.4009076639,2.53758870043,10,4,14
aellgi,36.4001213267,3.25398675408,8,3,11
mixx,36.3896377982,3.72685346884,4,2,6
haus,36.3593696734,2.62946637117,8,5,13
mojo,36.3345208964,2.68776454077,7,5,12
t. webb,36.3306204451,2.27141953593,11,7,18
hellsingulh,36.3174825589,2.5413691154,10,4,14
theswooper,36.3162208535,2.16685709777,15,8,23
quail,36.3152776783,3.47920596727,6,2,8
nes,36.3094215433,3.32826144356,5,2,7
john ward,36.3015217155,3.41835772823,6,2,8
cactuar,36.2981227665,2.93064848282,4,5,9
iateyourpie,36.2932678661,3.68417287093,4,2,6
vincessant,36.2794240635,2.03252025303,14,8,22
emodinosaur,36.2790782713,1.90537587179,17,9,26
bebop!,36.2736328405,3.61528109834,5,2,7
hungry pigeon,36.2711065252,1.95196862191,16,9,25
tempo,36.2645784773,1.88233516616,19,9,28
stacy's stepdad,36.2515657689,3.26943659967,7,2,9
kevbot,36.2080357783,2.12402226512,12,7,19
stango,36.2034240342,2.81273236993,8,4,12
pajama sam,36.1959252937,3.10311087938,5,2,7
yardsale,36.1774375395,2.30175615934,13,7,20
schlimmshady,36.1750633051,2.90909092809,10,3,13
god with a wavebird,36.1718081716,3.55348536745,5,2,7
rael,36.1648215062,4.37473838206,2,3,5
chris best,36.1644094902,3.54736485887,5,2,7
dansdaman,36.162557849,3.62289599904,4,2,6
craiger,36.1584339584,3.75531300372,4,2,6
venti3hm,36.1563459242,3.33070137092,5,2,7
soccermom69,36.1367450932,3.50482727138,6,2,8
mr good luck,36.1341401515,3.62819696269,3,3,6
| smokey bluntz,36.1285203821,3.64439680539,5,2,7
dr. light,36.1180879511,3.51111762208,4,2,6
hot,36.1145014727,3.61329885774,4,2,6
dalung,36.1115254733,3.50886745958,5,3,8
upke,36.0726510695,2.88415539597,9,4,13
cuff,36.0470269223,3.04058971523,9,3,12
mfsa,36.0409306423,3.60721300535,4,2,6
carrigan,36.0290166526,3.20762554479,5,2,7
chum,36.0286017757,2.77538588649,8,4,12
moist,35.9873920699,2.66887918758,9,5,14
yamaneko,35.9873029358,2.60868086976,9,4,13
nainsoo,35.9845264337,3.62045463892,5,2,7
kimimaru,35.9843980266,2.62788566049,9,4,13
s-royal,35.9835295589,3.51447664915,5,2,7
gato,35.9719811793,1.97811497087,17,10,27
ju4n,35.9650288489,3.5551971969,4,2,6
the phenom,35.9631131467,3.09371905954,6,3,9
gcs,35.9582544932,3.71241111567,5,2,7
it's a wonderful world,35.9428524441,3.69769781646,4,2,6
wts,35.9346291736,2.84788874137,7,3,10
arty,35.9132881103,3.17037275178,5,3,8
yield,35.9074858417,3.96302073316,4,1,5
psi,35.9031988067,3.08419246572,6,3,9
mint,35.8925510929,5.00946119214,1,1,2
nasan,35.8804933113,4.49191761996,1,2,3
jake13,35.8791837851,2.3903812616,9,7,16
pwof,35.8765751957,3.8364620997,4,2,6
liam_butler,35.8699447336,2.03970740217,13,6,19
poop,35.8665315853,2.81656940431,9,4,13
smashbob squarepants,35.8661390224,2.41559316798,11,7,18
eggz,35.8642645419,3.71714100625,4,2,6
shaeden,35.8576325526,2.51648585168,8,5,13
darktooth,35.8547023067,4.05409253006,4,2,6
wakenvape,35.8539207504,1.65892003577,27,12,39
ultimascout,35.8488146125,3.7753051301,4,2,6
buddy guysman,35.8469813312,3.90405512453,4,3,7
citrus,35.8318093522,3.01736997365,8,4,12
umarth,35.8234565118,2.6642197164,7,4,11
dezno,35.8223870833,1.66984794263,25,12,37
jago,35.8182405034,3.35043200337,5,2,7
yeti,35.8151317279,2.23867520403,13,7,20
ajp_anton,35.8148817518,2.52170536578,13,6,19
dyl,35.8095457543,2.90414263112,6,4,10
mike melee,35.8044456563,3.70134315512,5,2,7
emanon,35.8022772175,1.91159387394,17,10,27
prof,35.7950062915,4.12100145497,3,3,6
sealmore,35.7937640854,3.62964389721,7,1,8
dk@runescape.mom,35.7923556375,3.37008962499,5,2,7
njzfinest,35.7917737628,3.72729203239,4,2,6
diplomatictucan,35.7808096307,2.67057971436,6,4,10
coen,35.7790590263,3.43052776515,5,3,8
waterlessfishie,35.7725144203,2.57740001722,9,6,15
lonebutterfish,35.7594924714,2.12141682889,16,8,24
ilovebagelz,35.7531721856,3.45009297375,4,2,6
42nd,35.7522279863,2.22378868075,14,7,21
jdog,35.7460148123,3.28751136073,7,2,9
ed,35.744776152,2.55001984175,10,4,14
random-ness,35.7439347743,2.5153076644,12,5,17
sizzle,35.7396549543,2.162837291,15,6,21
