player,rating,rd,sets,wins,losses,num_tourneys
armada,2162.27803401,59.9683884588,159,145,14,14
leffen,2098.57790481,61.5961016975,104,88,16,10
hungrybox,2091.75665615,55.9042041075,201,172,29,19
mew2king,2047.82189314,53.3617371087,158,126,32,16
mang0,2035.73250742,58.1209669101,163,133,30,17
pi,1995.50645821,161.296234256,15,11,4,2
overtriforce,1971.23601977,80.8973464859,65,55,10,7
swedish delight,1958.13345597,62.9443385386,88,65,23,9
kirbykaze,1955.6603391,139.65007017,29,22,7,3
ice,1937.32120839,57.033395215,133,102,31,14
sfat,1935.94194392,55.8333849708,142,103,39,17
johnnyfight,1935.47561702,91.1536934326,25,21,4,2
taj,1921.99463036,135.301528424,10,8,2,1
lovage805,1921.09879803,119.84032,14,10,4,2
wizzrobe,1919.42722169,55.9729730483,133,101,32,13
s0ft,1918.42207711,162.281570477,8,6,2,1
westballz,1917.35099653,55.5225562492,142,105,37,17
professor pro,1916.18559849,57.7662178756,115,89,26,11
trif,1914.82705095,66.3454168645,73,59,14,6
kage,1911.51821298,86.5383801635,38,30,8,4
therealthing,1911.23440988,143.44157102,9,7,2,1
yort,1909.67094595,120.907589268,20,14,6,4
charlon,1904.86676897,125.938989748,13,11,2,1
fuzzyness,1900.72292482,75.6358978098,65,53,12,6
adamayonmike,1897.58467994,92.9075743475,41,33,8,4
iori,1894.46830165,114.631715286,18,14,4,2
jeapie,1894.15599279,182.967738194,22,18,4,2
twin,1890.29713123,103.726565448,19,15,4,2
k-12,1886.90123223,103.266695552,23,19,4,2
shroomed,1880.99149565,60.9907010584,94,69,25,12
albert,1878.67393198,144.638640285,9,7,2,1
pewpewu,1874.3227474,58.627172591,87,62,25,11
plup,1871.52682876,63.5212499603,70,50,20,9
hack,1869.14198739,207.390531103,4,4,0,1
flikkflakk,1867.98154984,109.50378335,20,17,3,2
android,1867.26182215,70.0227138451,75,60,15,7
zgetto,1867.2519233,74.2951797473,59,47,12,6
mahie,1866.12946309,80.38634945,52,42,10,5
hax,1864.21837766,138.946125585,11,8,3,1
amsa,1864.11342379,97.8903483443,20,16,4,2
prince f. abu,1861.60799944,131.956432645,30,23,7,3
reaper,1861.27513029,104.117595006,33,27,6,3
zoler,1860.14177048,103.445411017,35,29,6,3
alejandro,1857.97856223,135.286051789,10,8,2,1
n0ne,1856.30346639,64.3052572184,101,74,27,11
dusty md,1854.43069113,245.381913936,2,2,0,1
infinitenumbers,1852.02528452,140.218869774,9,7,2,1
laudandus,1848.29516841,91.5536040505,38,30,8,4
absentpage,1847.33285599,90.6624786741,26,20,6,3
captainjack,1847.27242266,139.478567516,11,9,2,1
axe,1844.79759855,61.030859582,92,65,27,12
duck,1840.91041957,61.098098957,94,68,26,12
syrox,1840.46177032,82.8163036268,34,25,9,4
dizzkidboogie,1836.57726433,61.4055040821,82,59,23,10
kels,1836.4594193,78.9695734338,30,23,7,3
druggedfox,1834.42064716,63.7131087749,79,56,23,10
rk,1834.41037915,164.517518302,6,4,2,1
trulliam,1834.3075477,77.9452314803,51,39,12,5
daydee,1834.10139401,100.393128598,24,20,4,2
rocky,1833.86713325,109.747455068,34,26,8,4
spud,1833.47192185,117.273258538,18,12,6,3
calle w,1832.84752335,99.9041927869,22,18,4,2
eagle,1832.07580459,103.262712727,23,19,4,2
beat,1831.8681778,137.552170789,12,10,2,1
mrlz,1830.36403401,130.251516259,21,16,5,3
rudolph,1830.21518164,126.231689675,21,14,7,3
azzu,1828.91811434,109.598668298,19,15,4,2
chudat,1828.65902811,81.2736681037,60,47,13,6
luigi ka-master,1828.40697614,153.844623371,8,6,2,1
s2j,1828.2765985,58.4537092325,108,74,34,15
amsah,1827.93883967,83.2118425462,50,40,10,5
lucky,1827.53652535,64.2913401589,72,51,21,11
salevits,1826.130033,107.457020225,20,16,4,2
levingy,1825.37898828,99.9707719998,31,22,9,3
kyle,1824.65420384,133.296218995,10,8,2,1
baxon,1822.33763425,101.807651174,33,27,6,3
zealous5000,1821.11908118,108.853037985,14,10,4,2
sealmore,1819.92640235,154.362621268,8,7,1,1
ferocitii,1819.84915471,167.756268149,6,4,2,1
the moon,1817.03422551,62.6000965952,105,73,32,14
davidcue,1816.97560112,122.420359999,14,12,2,1
chillindude,1816.70061399,67.8197899825,60,43,17,8
colbol,1816.60048318,70.2956956787,58,41,17,7
infinite numbers,1815.90333702,127.720800163,12,8,4,2
kalamazhu,1815.36923651,114.018162801,26,18,8,3
googlyeyed,1812.31901981,159.380411497,8,6,2,1
tenrye,1812.3182531,140.996801221,11,9,2,1
macd,1811.62650921,60.0899091279,96,65,31,12
bose,1810.21103969,95.6360527627,24,19,5,3
zain,1808.59366772,88.6125300054,24,18,6,3
sverre,1808.173568,98.2386442653,22,17,5,2
esam,1808.13072332,74.9637680802,47,33,14,7
nmw,1807.78014171,89.2889987731,25,18,7,3
humpe,1807.25544397,107.006768155,21,17,4,2
polo,1805.56898885,171.975085663,6,4,2,1
mafia,1802.69842295,79.5086390667,37,26,11,6
cyrain,1802.03871409,94.9353307371,24,18,6,3
ib,1802.02805608,142.369049188,16,14,2,2
fa0,1802.00452862,115.052648462,27,20,7,3
bladewise,1801.37929069,74.8957591901,39,26,13,5
yabasta,1801.17525228,94.5332473049,40,30,10,4
crunch,1799.94444301,89.7605818863,27,20,7,3
jadde,1799.21952324,109.005548393,22,17,5,3
tai,1797.67670615,78.1060512425,35,25,10,4
imperfect,1797.06952441,106.631285631,27,21,6,3
martin,1796.65120092,156.39471978,7,6,1,1
peki,1795.23035964,103.001125595,22,17,5,2
fauster,1795.17556432,113.089028756,32,26,6,3
s1,1795.08664034,155.418822369,7,5,2,1
taylorhj,1794.69520121,118.70913181,15,11,4,2
kriz,1793.64718468,108.205891305,20,16,4,2
$mike,1792.96458166,133.755248987,23,16,7,3
@adamayonmike,1792.5273126,139.373652551,12,10,2,1
hugs,1791.61538187,67.5175769458,70,48,22,10
pricent,1791.51486836,89.5660702104,43,33,10,4
mayhem,1789.28875112,108.689728176,20,16,4,2
vidjogamer,1789.01249614,104.005840851,17,13,4,3
sassmaster,1786.52530843,236.724369285,8,5,3,2
jamrun,1786.40176036,96.514435081,30,23,7,3
zorc,1785.81142546,79.1054876444,44,33,11,5
däumling,1785.61850407,182.472260497,22,18,4,2
ryan ford,1784.46827813,83.8214639109,40,29,11,5
slox,1784.39731682,84.0635498831,39,27,12,5
quaz,1784.05969203,132.427496987,12,10,2,1
squible,1783.76051721,98.6956678667,20,15,5,2
timi,1783.46824546,133.159262532,25,21,4,2
gundersen,1782.77928755,141.17906506,11,9,2,1
psychomidget,1782.64896777,93.556198744,22,15,7,3
4%,1782.60722906,91.4838981464,28,20,8,4
patcake,1781.51478372,148.678613378,7,5,2,1
usleon,1781.46593192,100.926630459,20,15,5,2
rax,1779.78851889,109.512526415,18,14,4,2
captain faceroll,1779.62691483,74.5237810345,44,32,12,5
kpan,1778.98808396,98.2071345137,30,21,9,4
sago,1778.80190864,110.188261383,19,15,4,2
yung arc,1778.75516119,157.748558352,6,4,2,1
ginger,1777.75350676,99.3683556718,22,16,6,3
lsdx,1777.73232112,141.13807505,12,9,3,1
cal,1777.35012154,149.080021609,7,5,2,1
pikapastor,1777.11536553,134.619980022,8,6,2,1
schlimmshady,1776.85264615,139.314833654,24,20,4,2
magicubed,1776.78401091,149.810837099,7,5,2,1
vdogg,1776.01189404,106.20062557,24,19,5,2
tesla,1775.3808761,153.313668764,8,6,2,1
bësti,1775.35057146,144.441560359,11,9,2,1
jah ridin',1775.35057146,144.441560359,23,19,4,2
reeve,1775.32891138,73.8400260204,46,33,13,6
iceman,1775.19611015,94.1336736484,25,18,7,3
baeblade,1775.17411578,105.130345315,25,17,8,4
darkatma,1773.96859995,83.3591937348,33,23,10,4
nightmare,1773.60480053,88.2633847249,45,34,11,5
prince abu,1771.45659291,67.5707955531,64,44,20,8
pseudoturtle,1771.42063717,141.210139529,11,9,2,1
anther,1771.01560826,135.969802662,9,6,3,1
smashg0d,1770.65204795,115.4779651,14,10,4,2
star,1770.55491743,150.097955943,8,6,2,1
wobbles,1770.22313006,62.4147757441,74,48,26,10
llod,1769.95603483,100.972008668,17,12,5,2
vanity angel,1769.94929664,103.725592372,32,26,6,3
cuff,1769.69222263,131.050234427,12,9,3,1
griffith,1769.10179289,148.29724847,7,5,2,1
rik,1768.69341795,76.1577902061,42,30,12,5
rime,1767.82254801,122.00580269,13,9,4,1
ibdw,1767.56438887,93.8610986776,22,15,7,3
frycook,1767.3883475,118.325132988,18,14,4,2
shunsuke,1766.98633603,149.43143636,8,6,2,1
sothe,1766.61263039,118.075957227,15,12,3,1
kage the warrior,1766.28592278,145.049277088,8,6,2,1
taka,1765.8732203,118.205890365,21,15,6,3
eggy,1765.7219042,107.619376354,20,15,5,2
ministry,1764.81127108,139.314833654,12,10,2,1
mikehaze,1764.68575756,74.5030285517,55,38,17,7
desseler,1763.97537066,118.969016114,15,11,4,2
dj nintendo,1763.33804044,69.3706479037,64,45,19,8
spark,1763.08653443,101.280414354,21,15,6,3
phil,1762.81796721,111.97393344,16,11,5,2
sauc3,1762.44136604,117.018398936,15,11,4,2
fatgoku,1761.58183213,170.323906681,7,5,2,1
cdk,1760.82368114,112.756547238,16,12,4,2
hazygoose,1759.93457616,121.903404303,15,11,4,2
eddy mexico,1759.32451858,115.880596003,15,10,5,2
brtarolg,1759.2701871,76.7954586548,58,43,15,7
mr.postman,1758.26132214,122.618740008,13,9,4,1
jdog,1757.35460164,147.489057687,9,7,2,1
liam_butler,1757.10049218,118.032572651,13,9,4,2
shiftingshadows,1757.0994908,108.411101409,29,22,7,3
travis,1756.63183855,110.934054248,17,13,4,2
shinobi,1755.94671476,77.6568292362,41,29,12,5
yomi,1755.91685913,202.354385977,16,12,4,2
nintendude,1755.76410678,64.7557398927,74,48,26,10
luigikid,1755.35826054,150.251404086,10,8,2,1
sol,1755.35826054,150.251404086,10,8,2,1
wenbobular,1755.1215055,91.8567536543,28,20,8,4
strawhat,1754.86169557,162.869279103,10,6,4,2
dan salvato,1754.81192968,146.032096647,9,7,2,1
twitch,1754.31252592,149.935765405,7,5,2,1
p-chips,1754.07170845,135.477079085,11,8,3,1
gahtzu,1753.8830453,75.4902093215,52,35,17,7
tranimal,1753.77413113,99.4562184802,23,16,7,3
zoma,1753.4376589,143.455248367,8,6,2,1
wic,1753.2694786,181.79812984,6,5,1,1
nakamaman,1753.07284669,164.94476745,6,4,2,1
morsecode762,1753.07191559,158.29269896,17,13,4,2
vanitas,1752.85341535,112.695534735,26,20,6,3
azusa,1752.49610441,105.701548735,18,13,5,2
jkj,1751.4936243,100.542787956,20,14,6,3
bmc,1751.44381295,96.4081844683,26,19,7,3
cob,1751.1673481,101.729952333,16,11,5,2
junebug,1750.93918766,116.726234621,18,14,4,2
drephen,1750.82360523,77.4641527482,41,29,12,5
dacky,1750.47973869,145.959504013,8,6,2,1
voorhese,1750.26819345,137.109993185,11,9,2,1
ryan_k,1750.04244208,127.234613034,12,8,4,2
obamallama,1749.83077851,116.888978423,15,11,4,1
home,1749.59562288,129.805224663,12,8,4,1
